EXPLAIN
TAG	LSV
TITLE	LABEL	Linear Sweep Voltammetry	Test &Identifier
DATE	LABEL	1/12/2021	Date
TIME	LABEL	10:44:03	Time
NOTES	NOTES	1	&Notes...
	Ni foam_anode_Pt_cathode in 1M KOH
PSTAT	PSTAT	My Pstat	Potentiostat
VINIT	POTEN	7.00000E-001	F	&Initial E (V)
VFINAL	POTEN	1.50000E+000	F	&Final E (V)
SCANRATE	QUANT	9.99998E-001	&Scan Rate (mV/s)
STEPSIZE	QUANT	1.00000E+000	St&ep Size (mV)
IMODE	SELECTOR	1	I/E Range &Mode
IRANGE	QUANT	2.00000E+003	&Max Current (mA)
AREA	QUANT	1.69000E+000	Electrode &Area (cm^2)
ELECTRODETYPE	SELECTOR	0	Electrode Type
STRIPPING	TOGGLE	F	Used for Stripping
POLARITY	TOGGLE	F	Signal Polarity
CONDIT	TWOPARAM	F	1.50000E+001	0.00000E+000	Conditionin&g	Time(s)	E(V)
DELAY	TWOPARAM	F	3.00000E+001	0.00000E+000	Init. De&lay	Time(s)	Stab.(mV/s)
EQDELAY	QUANT	5.00000E+000	Equil. &Time (s)
IRCOMP	SELECTOR	0	IRCom&p
PFCOR	QUANT	5.00000E+001	PF Corr. (ohm)
SAMPLINGMODE	SELECTOR	1	Sampling &Mode
EOC	QUANT	0	Open Circuit (V)
PSTATMODEL	IQUANT	5	Pstat Model
PSTATSECTION	LABEL	REF3000-14115	Pstat Section
PSTATSERIALNO	LABEL	14115	Pstat Serial Number
CTRLMODE	IQUANT	1	Control Mode
IESTAB	IQUANT	2	I/E Stability
CASPEED	IQUANT	2	Control Amp Speed
CONVENTION	IQUANT	1	Current Convention
ICHRANGE	IQUANT	2	Ich Range
ICHRANGEMODE	TOGGLE	F	Ich Auto Range
ICHOFFSETENABLE	TOGGLE	F	Ich Offset Enable
ICHOFFSET	QUANT	0	Ich Offset (V)
ICHFILTER	IQUANT	3	Ich Filter
VCHRANGE	IQUANT	2	Vch Range
VCHRANGEMODE	TOGGLE	T	Vch Auto Range
VCHOFFSETENABLE	TOGGLE	F	Vch Offset Enable
VCHOFFSET	QUANT	0	Vch Offset (V)
VCHFILTER	IQUANT	3	Vch Filter
ACHRANGE	IQUANT	2	Ach Range
ACHOFFSETENABLE	TOGGLE	F	Ach Offset Enable
ACHOFFSET	QUANT	0	Ach Offset (V)
ACHFILTER	IQUANT	1	Ach Filter
IERANGELOWERLIMIT	IQUANT	2	I/E Range Lower Limit
IERANGEMODE	TOGGLE	F	I/E AutoRange
IERANGE	IQUANT	12	I/E Range
POSFEEDENABLE	TOGGLE	F	Positive Feedback IR Comp
POSFEEDRESISTANCE	QUANT	0	Positive Feedback Resistance (ohm)
ACHSELECT	IQUANT	0	Ach Select
CABLEID	IQUANT	13	Cable ID
DCCALDATE	LABEL	2/23/2015	DC Calibration Date
ACCALDATE	LABEL		AC Calibration Date
THERMOSELECT	IQUANT	1	Thermo Select
FRAMEWORKVERSION	QUANT	6.21	Framework Version
INSTRUMENTVERSION	LABEL	3.20	Instrument Version
COMPLIANCEVOLTAGE	IQUANT	0	Compliance Voltage
CURVE	TABLE	801
	Pt	T	Vf	Im	Vu	Sig	Ach	IERange	Over	Cycle
	#	s	V vs. Ref.	A	V	V	V	#	bits	#
	0	1	6.99351E-001	4.73227E-003	0.00000E+000	7.00000E-001	5.18110E-004	12	...........	0
	1	2	7.00324E-001	4.29183E-003	0.00000E+000	7.01000E-001	5.23585E-004	12	...........	0
	2	3	7.01324E-001	4.27282E-003	0.00000E+000	7.02000E-001	4.66111E-004	12	...........	0
	3	4	7.02313E-001	4.26698E-003	0.00000E+000	7.03000E-001	5.74334E-004	12	...........	0
	4	5	7.03347E-001	4.23602E-003	0.00000E+000	7.04000E-001	4.79294E-004	12	...........	0
	5	6	7.04302E-001	4.11074E-003	0.00000E+000	7.05000E-001	4.81435E-004	12	...........	0
	6	7	7.05169E-001	4.08710E-003	0.00000E+000	7.06000E-001	5.48259E-004	12	...........	0
	7	8	7.06133E-001	4.03048E-003	0.00000E+000	7.07000E-001	4.91702E-004	12	...........	0
	8	9	7.07219E-001	4.02101E-003	0.00000E+000	7.08000E-001	5.40234E-004	12	...........	0
	9	10	7.08300E-001	4.03253E-003	0.00000E+000	7.09000E-001	5.16001E-004	12	...........	0
	10	11	7.09248E-001	3.99575E-003	0.00000E+000	7.10000E-001	4.72344E-004	12	...........	0
	11	12	7.10107E-001	3.99503E-003	0.00000E+000	7.11000E-001	5.63034E-004	12	...........	0
	12	13	7.11242E-001	4.02679E-003	0.00000E+000	7.12000E-001	4.94785E-004	12	...........	0
	13	14	7.12287E-001	3.99595E-003	0.00000E+000	7.13000E-001	4.75485E-004	12	...........	0
	14	15	7.13234E-001	4.06000E-003	0.00000E+000	7.14000E-001	5.53559E-004	12	...........	0
	15	16	7.14118E-001	4.04601E-003	0.00000E+000	7.15000E-001	4.65861E-004	12	...........	0
	16	17	7.15241E-001	4.09596E-003	0.00000E+000	7.16000E-001	5.28335E-004	12	...........	0
	17	18	7.16287E-001	4.11644E-003	0.00000E+000	7.17000E-001	5.42259E-004	12	...........	0
	18	19	7.17266E-001	4.10535E-003	0.00000E+000	7.18000E-001	4.60644E-004	12	...........	0
	19	20	7.18225E-001	4.13040E-003	0.00000E+000	7.19000E-001	5.63367E-004	12	...........	0
	20	21	7.19335E-001	4.19215E-003	0.00000E+000	7.20000E-001	5.14460E-004	12	...........	0
	21	22	7.20308E-001	4.16884E-003	0.00000E+000	7.21000E-001	4.63177E-004	12	...........	0
	22	23	7.21287E-001	4.23162E-003	0.00000E+000	7.22000E-001	5.57893E-004	12	...........	0
	23	24	7.22278E-001	4.24127E-003	0.00000E+000	7.23000E-001	4.56894E-004	12	...........	0
	24	25	7.23340E-001	4.25470E-003	0.00000E+000	7.24000E-001	5.27810E-004	12	...........	0
	25	26	7.24312E-001	4.27238E-003	0.00000E+000	7.25000E-001	5.41459E-004	12	...........	0
	26	27	7.25298E-001	4.26713E-003	0.00000E+000	7.26000E-001	4.59286E-004	12	...........	0
	27	28	7.26304E-001	4.27543E-003	0.00000E+000	7.27000E-001	5.49468E-004	12	...........	0
	28	29	7.27333E-001	4.27641E-003	0.00000E+000	7.28000E-001	4.89094E-004	12	...........	0
	29	30	7.28303E-001	4.29048E-003	0.00000E+000	7.29000E-001	4.77935E-004	12	...........	0
